timestamp,open,high,low,close,volume
1704067200000,100,101,99,100,1000
1704067260000,99,100,98,99,1000
1704067320000,98,99,97,98,1000
1704067380000,99,100,98,99,1000
1704067440000,100,101,99,100,1000
1704067500000,101,102,100,101,1000
1704067560000,102,103,101,102,1000
1704067620000,101,102,100,101,1000
1704067680000,100,101,99,100,1000
1704067740000,99,100,98,99,1000
1704067800000,98,99,97,98,1000
1704067860000,99,100,98,99,1000
1704067920000,100,101,99,100,1000
1704067980000,101,102,100,101,1000
1704068040000,102,103,101,102,1000
1704068100000,101,102,100,101,1000
1704068160000,100,101,99,100,1000
1704068220000,99,100,98,99,1000
1704068280000,98,99,97,98,1000
1704068340000,99,100,98,99,1000
1704068400000,100,101,99,100,1000
1704068460000,101,102,100,101,1000
1704068520000,102,103,101,102,1000
1704068580000,101,102,100,101,1000
1704068640000,100,101,99,100,1000
1704068700000,99,100,98,99,1000
1704068760000,98,99,97,98,1000
1704068820000,99,100,98,99,1000
1704068880000,100,101,99,100,1000
1704068940000,101,102,100,101,1000
1704069000000,102,103,101,102,1000
1704069060000,101,102,100,101,1000
1704069120000,100,101,99,100,1000
1704069180000,99,100,98,99,1000
1704069240000,98,99,97,98,1000
1704069300000,99,100,98,99,1000
1704069360000,100,101,99,100,1000
1704069420000,101,102,100,101,1000
1704069480000,102,103,101,102,1000
1704069540000,101,102,100,101,1000
1704069600000,100,101,99,100,1000
1704069660000,99,100,98,99,1000
1704069720000,98,99,97,98,1000
1704069780000,99,100,98,99,1000
1704069840000,100,101,99,100,1000
1704069900000,101,102,100,101,1000
1704069960000,102,103,101,102,1000
1704070020000,101,102,100,101,1000
1704070080000,100,101,99,100,1000
1704070140000,99,100,98,99,1000
1704070200000,98,99,97,98,1000
1704070260000,99,100,98,99,1000
1704070320000,100,101,99,100,1000
1704070380000,101,102,100,101,1000
1704070440000,102,103,101,102,1000
1704070500000,101,102,100,101,1000
1704070560000,100,101,99,100,1000
1704070620000,99,100,98,99,1000
1704070680000,98,99,97,98,1000
1704070740000,99,100,98,99,1000
1704070800000,100,101,99,100,1000
1704070860000,101,102,100,101,1000
1704070920000,102,103,101,102,1000
